"Sample","Group3","LAMP2","STAG2","LAMP2_log2FC","LAMP2_foldchange","STAG2_log2FC","STAG2_foldchange","LAMP2_pval","STAG2_pval"
"GSM363154","Control",8.4135,6.875,0.0538113636363651,1.0380035398382,0.112159090909091,1.08084458389138,2.54e-06,2.43e-11
"GSM363155","Control",7.9905,6.744,-0.369188636363636,0.774217790119118,-0.0188409090909092,0.987025382544549,2.54e-06,2.43e-11
"GSM363156","Control",8.396,6.312,0.036311363636365,1.02548853579093,-0.450840909090909,0.731616283730159,2.54e-06,2.43e-11
"GSM363157","Control",8.5115,6.916,0.151811363636364,1.11096345761566,0.153159090909091,1.11200177498957,2.54e-06,2.43e-11
"GSM363158","Control",8.2845,6.871,-0.0751886363636363,0.949217999959356,0.108159090909091,1.07785199691111,2.54e-06,2.43e-11
"GSM363159","Control",7.8965,6.939,-0.463188636363635,0.725381252112776,0.176159090909091,1.12987180252291,2.54e-06,2.43e-11
"GSM363160","Control",8.3,6.994,-0.0596886363636351,0.959471170842708,0.231159090909091,1.17377760761026,2.54e-06,2.43e-11
"GSM363161","Control",8.5915,7.054,0.231811363636364,1.1743084171042,0.291159090909091,1.2236229667757,2.54e-06,2.43e-11
"GSM363162","Control",8.8195,6.913,0.459811363636364,1.37536197400338,0.150159090909091,1.10969183482936,2.54e-06,2.43e-11
"GSM363163","Control",8.9805,7.113,0.620811363636363,1.53773975440228,0.350159090909091,1.27470118522213,2.54e-06,2.43e-11
"GSM363165","Control",7.993,5.799,-0.366688636363635,0.775560570409472,-0.963840909090909,0.512690151921133,2.54e-06,2.43e-11
"GSM363167","Control",8.142,7.138,-0.217688636363636,0.859942059623186,0.375159090909091,1.29698256946274,2.54e-06,2.43e-11
"GSM363171","Control",8.5435,7.353,0.183811363636364,1.1358807355313,0.590159090909091,1.50541274526286,2.54e-06,2.43e-11
"GSM363173","Control",9.078,6.923,0.718311363636364,1.64525517944374,0.160159090909091,1.11741035193405,2.54e-06,2.43e-11
"GSM363175","Control",8.926,7.014,0.566311363636364,1.48073283650214,0.251159090909091,1.19016293240169,2.54e-06,2.43e-11
"GSM363177","Control",8.3235,7.067,-0.0361886363636348,0.975227939442665,0.304159090909091,1.2346987538349,2.54e-06,2.43e-11
"GSM363179","Control",8.429,6.884,0.0693113636363645,1.0492157457508,0.121159090909091,1.08760831852591,2.54e-06,2.43e-11
"GSM363181","Control",8.454,6.91,0.0943113636363648,1.06755571393581,0.147159090909091,1.10738669306396,2.54e-06,2.43e-11
"GSM363183","Control",8.855,7.397,0.495311363636365,1.40962494873692,0.634159090909091,1.5520328470759,2.54e-06,2.43e-11
"GSM363185","Control",9.279,7.663,0.919311363636364,1.89121235247294,0.900159090909091,1.86627177188866,2.54e-06,2.43e-11
"GSM363187","Control",8.4285,6.969,0.0688113636363639,1.04885217828789,0.206159090909091,1.15361281087053,2.54e-06,2.43e-11
"GSM363189","Control",8.461,7.075,0.101311363636365,1.07274811322078,0.312159090909091,1.24156439552349,2.54e-06,2.43e-11
"GSM363191","Control",8.722,7.221,0.362311363636364,1.2854837416973,0.458159090909091,1.37378771734034,2.54e-06,2.43e-11
